"","dteday","TMAX","PRCP","AWND","season","day_of_week","mnth_date","day","cnt"
"100",2011-04-14,211,0,16,"2","Thursday","14_4",14,3267
"101",2011-04-15,194,0,48,"2","Friday","15_4",15,3126
"102",2011-04-16,172,315,64,"2","Saturday","16_4",16,795
"103",2011-04-17,206,0,44,"2","Sunday","17_4",17,3744
"104",2011-04-18,244,0,27,"2","Monday","18_4",18,3429
"105",2011-04-19,200,5,25,"2","Tuesday","19_4",19,3204
"106",2011-04-20,300,0,47,"2","Wednesday","20_4",20,3944
"107",2011-04-21,178,0,52,"2","Thursday","21_4",21,4189
"108",2011-04-22,94,102,41,"2","Friday","22_4",22,1683
"109",2011-04-23,228,20,39,"2","Saturday","23_4",23,4036
"110",2011-04-24,294,3,31,"2","Sunday","24_4",24,4191
"111",2011-04-25,300,0,35,"2","Monday","25_4",25,4073
"112",2011-04-26,289,0,61,"2","Tuesday","26_4",26,4400
"113",2011-04-27,278,338,52,"2","Wednesday","27_4",27,3872
"114",2011-04-28,256,81,50,"2","Thursday","28_4",28,4058
"115",2011-04-29,189,0,43,"2","Friday","29_4",29,4595
"116",2011-04-30,189,0,26,"2","Saturday","30_4",30,5312
"117",2011-05-01,167,5,16,"2","Sunday","1_5",1,3351
"118",2011-05-02,261,0,33,"2","Monday","2_5",2,4401
"119",2011-05-04,156,109,61,"2","Wednesday","4_5",4,2633
"120",2011-05-05,194,0,51,"2","Thursday","5_5",5,4433
"121",2011-05-06,217,5,27,"2","Friday","6_5",6,4608
"122",2011-05-07,211,0,21,"2","Saturday","7_5",7,4714
"123",2011-05-08,233,3,16,"2","Sunday","8_5",8,4333
"124",2011-05-09,228,0,27,"2","Monday","9_5",9,4362
"125",2011-05-10,239,0,17,"2","Tuesday","10_5",10,4803
"126",2011-05-11,244,0,21,"2","Wednesday","11_5",11,4182
"127",2011-05-12,239,0,30,"2","Thursday","12_5",12,4864
"128",2011-05-13,172,10,31,"2","Friday","13_5",13,4105
"129",2011-05-14,183,99,23,"2","Saturday","14_5",14,3409
"130",2011-05-15,250,46,21,"2","Sunday","15_5",15,4553
"131",2011-05-16,256,8,23,"2","Monday","16_5",16,3958
"132",2011-05-18,222,196,30,"2","Wednesday","18_5",18,3855
"133",2011-05-19,222,36,16,"2","Thursday","19_5",19,4575
"134",2011-05-20,222,0,19,"2","Friday","20_5",20,4917
"135",2011-05-21,272,0,17,"2","Saturday","21_5",21,5805
"136",2011-05-22,267,0,27,"2","Sunday","22_5",22,4660
"137",2011-05-23,278,81,39,"2","Monday","23_5",23,4274
"138",2011-05-24,294,13,29,"2","Tuesday","24_5",24,4492
"139",2011-05-25,289,0,24,"2","Wednesday","25_5",25,4978
"140",2011-05-26,322,0,36,"2","Thursday","26_5",26,4677
"141",2011-05-28,272,0,36,"2","Saturday","28_5",28,4758
"142",2011-05-29,294,0,31,"2","Sunday","29_5",29,4788
"143",2011-05-30,339,0,19,"2","Monday","30_5",30,4098
"144",2011-05-31,344,0,16,"2","Tuesday","31_5",31,3982
"145",2011-06-01,350,3,26,"2","Wednesday","1_6",1,3974
"146",2011-06-02,300,0,60,"2","Thursday","2_6",2,4968
"147",2011-06-03,256,0,35,"2","Friday","3_6",3,5312
"148",2011-06-04,278,0,18,"2","Saturday","4_6",4,5342
"149",2011-06-05,272,0,21,"2","Sunday","5_6",5,4906
"150",2011-06-06,300,0,21,"2","Monday","6_6",6,4548
"151",2011-06-07,306,0,23,"2","Tuesday","7_6",7,4833
"152",2011-06-08,356,0,15,"2","Wednesday","8_6",8,4401
"153",2011-06-09,361,3,20,"2","Thursday","9_6",9,3915
"154",2011-06-10,339,0,21,"2","Friday","10_6",10,4586
"155",2011-06-11,322,0,19,"2","Saturday","11_6",11,4966
"156",2011-06-12,322,28,15,"2","Sunday","12_6",12,4460
"157",2011-06-13,256,0,46,"2","Monday","13_6",13,5020
"158",2011-06-14,244,0,39,"2","Tuesday","14_6",14,4891
"159",2011-06-15,283,0,21,"2","Wednesday","15_6",15,5180
"160",2011-06-16,267,147,34,"2","Thursday","16_6",16,3767
"161",2011-06-17,294,15,17,"2","Friday","17_6",17,4844
"162",2011-06-18,300,0,17,"2","Saturday","18_6",18,5119
"163",2011-06-19,283,8,16,"2","Sunday","19_6",19,4744
"164",2011-06-20,256,109,25,"2","Monday","20_6",20,4010
"165",2011-06-21,311,18,23,"3","Tuesday","21_6",21,4835
"166",2011-06-22,317,3,23,"3","Wednesday","22_6",22,4507
"167",2011-06-23,283,0,33,"3","Thursday","23_6",23,4790
"168",2011-06-24,306,0,36,"3","Friday","24_6",24,4991
"169",2011-06-25,283,0,28,"3","Saturday","25_6",25,5202
"170",2011-06-26,294,13,16,"3","Sunday","26_6",26,5305
"171",2011-06-27,272,10,17,"3","Monday","27_6",27,4708
"172",2011-06-28,339,0,21,"3","Tuesday","28_6",28,4648
"173",2011-06-29,311,0,43,"3","Wednesday","29_6",29,5225
"174",2011-06-30,300,0,26,"3","Thursday","30_6",30,5515
"175",2011-07-01,317,0,20,"3","Friday","1_7",1,5362
"176",2011-07-02,339,0,17,"3","Saturday","2_7",2,5119
"177",2011-07-03,350,36,23,"3","Sunday","3_7",3,4649
"178",2011-07-04,322,0,18,"3","Monday","4_7",4,6043
"179",2011-07-05,333,0,17,"3","Tuesday","5_7",5,4665
"180",2011-07-06,311,25,21,"3","Wednesday","6_7",6,4629
"181",2011-07-07,356,0,26,"3","Thursday","7_7",7,4592
"182",2011-07-08,306,323,26,"3","Friday","8_7",8,4040
"183",2011-07-09,322,0,20,"3","Saturday","9_7",9,5336
"184",2011-07-10,322,0,20,"3","Sunday","10_7",10,4881
"185",2011-07-11,344,3,32,"3","Monday","11_7",11,4086
"186",2011-07-12,356,0,30,"3","Tuesday","12_7",12,4258
"187",2011-07-13,328,175,21,"3","Wednesday","13_7",13,4342
"188",2011-07-14,289,0,30,"3","Thursday","14_7",14,5084
"189",2011-07-15,278,0,26,"3","Friday","15_7",15,5538
"190",2011-07-16,300,0,30,"3","Saturday","16_7",16,5923
"191",2011-07-17,317,0,26,"3","Sunday","17_7",17,5302
"192",2011-07-18,339,0,29,"3","Monday","18_7",18,4458
"193",2011-07-19,339,0,19,"3","Tuesday","19_7",19,4541
"194",2011-07-20,344,0,15,"3","Wednesday","20_7",20,4332
"195",2011-07-21,378,0,24,"3","Thursday","21_7",21,3784
"196",2011-07-22,406,0,16,"3","Friday","22_7",22,3387
"197",2011-07-23,372,0,26,"3","Saturday","23_7",23,3285
"198",2011-07-24,344,0,29,"3","Sunday","24_7",24,3606
"199",2011-07-25,328,94,16,"3","Monday","25_7",25,3840
"200",2011-07-26,350,0,28,"3","Tuesday","26_7",26,4590
"201",2011-07-27,333,0,24,"3","Wednesday","27_7",27,4656
"202",2011-07-28,339,0,17,"3","Thursday","28_7",28,4390
"203",2011-07-29,394,0,33,"3","Friday","29_7",29,3846
"204",2011-07-30,356,0,27,"3","Saturday","30_7",30,4475
"205",2011-07-31,361,0,29,"3","Sunday","31_7",31,4302
"206",2011-08-01,372,36,26,"3","Monday","1_8",1,4266
"207",2011-08-02,350,0,25,"3","Tuesday","2_8",2,4845
"208",2011-08-03,289,8,16,"3","Wednesday","3_8",3,3574
"209",2011-08-04,311,0,36,"3","Thursday","4_8",4,4576
"210",2011-08-05,300,0,31,"3","Friday","5_8",5,4866
"211",2011-08-06,317,140,35,"3","Saturday","6_8",6,4294
"212",2011-08-07,339,3,24,"3","Sunday","7_8",7,3785
"213",2011-08-08,333,0,32,"3","Monday","8_8",8,4326
"214",2011-08-09,339,0,27,"3","Tuesday","9_8",9,4602
"215",2011-08-10,333,0,34,"3","Wednesday","10_8",10,4780
"216",2011-08-11,306,0,23,"3","Thursday","11_8",11,4792
"217",2011-08-12,311,0,20,"3","Friday","12_8",12,4905
"218",2011-08-13,289,91,29,"3","Saturday","13_8",13,4150
"219",2011-08-14,311,20,26,"3","Sunday","14_8",14,3820
"220",2011-08-15,289,0,40,"3","Monday","15_8",15,4338
"221",2011-08-16,306,0,37,"3","Tuesday","16_8",16,4725
"222",2011-08-17,322,0,21,"3","Wednesday","17_8",17,4694
"223",2011-08-18,333,165,30,"3","Thursday","18_8",18,3805
"224",2011-08-19,306,10,15,"3","Friday","19_8",19,4153
"225",2011-08-20,317,0,19,"3","Saturday","20_8",20,5191
"226",2011-08-21,317,99,31,"3","Sunday","21_8",21,3873
"227",2011-08-22,283,0,43,"3","Monday","22_8",22,4758
"228",2011-08-23,278,0,15,"3","Tuesday","23_8",23,5895
"229",2011-08-24,306,0,45,"3","Wednesday","24_8",24,5130
"230",2011-08-25,272,20,31,"3","Thursday","25_8",25,3542
"231",2011-08-26,311,0,16,"3","Friday","26_8",26,4661
"232",2011-08-27,261,297,63,"3","Saturday","27_8",27,1115
"233",2011-08-28,294,61,71,"3","Sunday","28_8",28,4334
"234",2011-08-29,256,0,27,"3","Monday","29_8",29,4634
"235",2011-08-30,283,0,17,"3","Tuesday","30_8",30,5204
"236",2011-08-31,283,0,12,"3","Wednesday","31_8",31,5058
"237",2011-09-01,272,0,21,"3","Thursday","1_9",1,5115
"238",2011-09-02,267,8,27,"3","Friday","2_9",2,4727
"239",2011-09-03,267,38,18,"3","Saturday","3_9",3,4484
"240",2011-09-04,311,0,27,"3","Sunday","4_9",4,4940
"241",2011-09-05,267,505,17,"3","Monday","5_9",5,3351
"242",2011-09-07,222,282,22,"3","Wednesday","7_9",7,1996
"243",2011-09-08,239,577,23,"3","Thursday","8_9",8,1842
"244",2011-09-09,289,66,15,"3","Friday","9_9",9,3544
"245",2011-09-10,283,0,23,"3","Saturday","10_9",10,5345
"246",2011-09-11,283,0,13,"3","Sunday","11_9",11,5046
"247",2011-09-12,283,0,9,"3","Monday","12_9",12,4713
"248",2011-09-13,289,0,17,"3","Tuesday","13_9",13,4763
"249",2011-09-14,311,5,23,"3","Wednesday","14_9",14,4785
"250",2011-09-15,233,3,43,"3","Thursday","15_9",15,3659
"251",2011-09-16,167,0,13,"3","Friday","16_9",16,4760
"252",2011-09-18,206,0,19,"3","Sunday","18_9",18,4274
"253",2011-09-19,206,0,19,"3","Monday","19_9",19,4539
"254",2011-09-20,228,51,22,"3","Tuesday","20_9",20,3641
"255",2011-09-21,250,23,19,"3","Wednesday","21_9",21,4352
"256",2011-09-22,261,25,13,"3","Thursday","22_9",22,4795
"257",2011-09-23,228,91,16,"4","Friday","23_9",23,2395
"258",2011-09-24,244,0,13,"4","Saturday","24_9",24,5423
"259",2011-09-25,244,28,8,"4","Sunday","25_9",25,5010
"260",2011-09-26,267,0,23,"4","Monday","26_9",26,4630
"261",2011-09-27,261,0,31,"4","Tuesday","27_9",27,4120
"262",2011-09-28,267,41,22,"4","Wednesday","28_9",28,3907
"263",2011-09-29,244,0,24,"4","Thursday","29_9",29,4839
"264",2011-09-30,228,0,26,"4","Friday","30_9",30,5202
"265",2011-10-01,139,203,55,"4","Saturday","1_10",1,2429
"266",2011-10-02,100,41,37,"4","Sunday","2_10",2,2918
"267",2011-10-03,106,8,9,"4","Monday","3_10",3,3570
"268",2011-10-04,200,0,35,"4","Tuesday","4_10",4,4456
"269",2011-10-05,233,0,36,"4","Wednesday","5_10",5,4826
"270",2011-10-06,211,0,11,"4","Thursday","6_10",6,4765
"271",2011-10-07,233,0,5,"4","Friday","7_10",7,4985
"272",2011-10-08,233,0,4,"4","Saturday","8_10",8,5409
"273",2011-10-09,267,0,2,"4","Sunday","9_10",9,5511
"274",2011-10-10,272,0,13,"4","Monday","10_10",10,5117
"275",2011-10-11,211,0,18,"4","Tuesday","11_10",11,4563
"276",2011-10-12,183,112,34,"4","Wednesday","12_10",12,2416
"277",2011-10-13,228,488,24,"4","Thursday","13_10",13,2913
"278",2011-10-14,211,155,36,"4","Friday","14_10",14,3644
"279",2011-10-15,217,0,43,"4","Saturday","15_10",15,5217
"280",2011-10-16,217,0,51,"4","Sunday","16_10",16,5041
"281",2011-10-17,217,0,22,"4","Monday","17_10",17,4570
"282",2011-10-18,228,0,17,"4","Tuesday","18_10",18,4748
"283",2011-10-19,189,206,33,"4","Wednesday","19_10",19,2424
"284",2011-10-20,183,0,54,"4","Thursday","20_10",20,4195
"285",2011-10-21,150,0,35,"4","Friday","21_10",21,4304
"286",2011-10-22,150,0,9,"4","Saturday","22_10",22,4308
"287",2011-10-23,183,0,11,"4","Sunday","23_10",23,4381
"288",2011-10-25,200,0,33,"4","Tuesday","25_10",25,4687
"289",2011-10-26,161,48,22,"4","Wednesday","26_10",26,3894
"290",2011-10-27,178,30,38,"4","Thursday","27_10",27,2659
"291",2011-10-28,106,18,30,"4","Friday","28_10",28,3747
"292",2011-10-29,39,262,50,"4","Saturday","29_10",29,627
"293",2011-10-30,106,0,18,"4","Sunday","30_10",30,3331
"294",2011-10-31,128,0,16,"4","Monday","31_10",31,3669
"295",2011-11-01,156,0,17,"4","Tuesday","1_11",1,4068
"296",2011-11-02,161,0,15,"4","Wednesday","2_11",2,4186
"297",2011-11-03,183,0,23,"4","Thursday","3_11",3,3974
"298",2011-11-04,133,0,47,"4","Friday","4_11",4,4046
"299",2011-11-07,194,0,5,"4","Monday","7_11",7,4035
"300",2011-11-08,206,0,10,"4","Tuesday","8_11",8,4205
"301",2011-11-10,122,18,28,"4","Thursday","10_11",10,2933
"302",2011-11-11,100,0,57,"4","Friday","11_11",11,3368
"303",2011-11-12,167,0,36,"4","Saturday","12_11",12,4067
"304",2011-11-13,172,0,46,"4","Sunday","13_11",13,3717
"305",2011-11-14,228,0,59,"4","Monday","14_11",14,4486
"306",2011-11-16,144,86,22,"4","Wednesday","16_11",16,1817
"307",2011-11-17,111,0,51,"4","Thursday","17_11",17,3053
"308",2011-11-19,128,0,34,"4","Saturday","19_11",19,3663
"309",2011-11-20,178,3,26,"4","Sunday","20_11",20,3520
"310",2011-11-21,167,53,20,"4","Monday","21_11",21,2765
"311",2011-11-22,117,178,12,"4","Tuesday","22_11",22,1607
"312",2011-11-23,161,76,58,"4","Wednesday","23_11",23,2566
"313",2011-11-24,161,0,23,"4","Thursday","24_11",24,1495
"314",2011-11-25,189,0,5,"4","Friday","25_11",25,2792
"315",2011-11-26,194,0,7,"4","Saturday","26_11",26,3068
"316",2011-11-27,211,0,38,"4","Sunday","27_11",27,3071
"317",2011-11-29,178,127,45,"4","Tuesday","29_11",29,2914
"318",2011-11-30,100,0,49,"4","Wednesday","30_11",30,3613
"319",2011-12-01,100,0,29,"4","Thursday","1_12",1,3727
"320",2011-12-02,139,0,12,"4","Friday","2_12",2,3940
"321",2011-12-03,100,0,13,"4","Saturday","3_12",3,3614
"322",2011-12-04,128,0,21,"4","Sunday","4_12",4,3485
"323",2011-12-05,150,0,20,"4","Monday","5_12",5,3811
"324",2011-12-06,167,53,34,"4","Tuesday","6_12",6,2594
"325",2011-12-07,167,544,47,"4","Wednesday","7_12",7,705
"326",2011-12-08,72,0,36,"4","Thursday","8_12",8,3322
"327",2011-12-09,106,0,15,"4","Friday","9_12",9,3620
"328",2011-12-10,78,0,34,"4","Saturday","10_12",10,3190
"329",2011-12-11,56,0,5,"4","Sunday","11_12",11,2743
"330",2011-12-12,67,0,6,"4","Monday","12_12",12,3310
"331",2011-12-13,100,0,16,"4","Tuesday","13_12",13,3523
"332",2011-12-14,94,0,13,"4","Wednesday","14_12",14,3740
"333",2011-12-15,167,0,54,"4","Thursday","15_12",15,3709
"334",2011-12-16,167,0,48,"4","Friday","16_12",16,3577
"335",2011-12-17,44,0,30,"4","Saturday","17_12",17,2739
"336",2011-12-18,61,0,21,"4","Sunday","18_12",18,2431
"337",2011-12-19,111,0,30,"4","Monday","19_12",19,3403
"338",2011-12-20,133,0,13,"4","Tuesday","20_12",20,3750
"339",2011-12-21,161,20,31,"1","Wednesday","21_12",21,2660
"340",2011-12-22,156,284,15,"1","Thursday","22_12",22,3068
"341",2011-12-23,100,51,41,"1","Friday","23_12",23,2209
"342",2011-12-24,72,0,25,"1","Saturday","24_12",24,1011
"343",2011-12-25,94,0,16,"1","Sunday","25_12",25,754
"344",2011-12-26,89,0,47,"1","Monday","26_12",26,1317
"345",2011-12-27,78,180,29,"1","Tuesday","27_12",27,1162
"346",2011-12-28,72,0,58,"1","Wednesday","28_12",28,2302
"347",2011-12-29,50,0,14,"1","Thursday","29_12",29,2423
"348",2011-12-30,122,0,14,"1","Friday","30_12",30,2999
"349",2011-12-31,150,0,31,"1","Saturday","31_12",31,2485
"350",2012-01-01,139,10,32,"1","Sunday","1_1",1,2294
"351",2012-01-02,78,0,56,"1","Monday","2_1",2,1951
"352",2012-01-03,-6,0,68,"1","Tuesday","3_1",3,2236
"353",2012-01-04,6,0,24,"1","Wednesday","4_1",4,2368
"354",2012-01-05,83,0,19,"1","Thursday","5_1",5,3272
"355",2012-01-06,172,0,33,"1","Friday","6_1",6,4098
"356",2012-01-07,178,0,28,"1","Saturday","7_1",7,4521
"357",2012-01-08,100,0,23,"1","Sunday","8_1",8,3425
"358",2012-01-09,39,23,10,"1","Monday","9_1",9,2376
"359",2012-01-10,117,0,19,"1","Tuesday","10_1",10,3598
"360",2012-01-11,83,150,23,"1","Wednesday","11_1",11,2177
"361",2012-01-12,150,117,33,"1","Thursday","12_1",12,4097
"362",2012-01-13,111,10,52,"1","Friday","13_1",13,3214
"363",2012-01-14,22,0,34,"1","Saturday","14_1",14,2493
"364",2012-01-15,11,0,28,"1","Sunday","15_1",15,2311
"365",2012-01-16,50,5,38,"1","Monday","16_1",16,2298
"366",2012-01-17,144,36,64,"1","Tuesday","17_1",17,2935
"367",2012-01-18,128,0,68,"1","Wednesday","18_1",18,3376
"368",2012-01-19,33,0,30,"1","Thursday","19_1",19,3292
"369",2012-01-20,17,23,30,"1","Friday","20_1",20,3163
"370",2012-01-21,-6,38,35,"1","Saturday","21_1",21,1301
"371",2012-01-22,-6,0,17,"1","Sunday","22_1",22,1977
"372",2012-01-23,61,8,22,"1","Monday","23_1",23,2432
"373",2012-01-24,139,0,15,"1","Tuesday","24_1",24,4339
"374",2012-01-25,100,0,20,"1","Wednesday","25_1",25,4270
"375",2012-01-26,111,3,13,"1","Thursday","26_1",26,4075
"376",2012-01-27,178,48,66,"1","Friday","27_1",27,3456
"377",2012-01-28,122,0,41,"1","Saturday","28_1",28,4023
"378",2012-01-29,89,0,45,"1","Sunday","29_1",29,3243
"379",2012-01-30,83,0,36,"1","Monday","30_1",30,3624
"380",2012-01-31,189,0,41,"1","Tuesday","31_1",31,4509
"381",2012-02-01,206,0,40,"1","Wednesday","1_2",1,4579
"382",2012-02-02,139,23,31,"1","Thursday","2_2",2,3761
"383",2012-02-03,100,0,22,"1","Friday","3_2",3,4151
"384",2012-02-04,67,23,16,"1","Saturday","4_2",4,2832
"385",2012-02-05,61,3,21,"1","Sunday","5_2",5,2947
"386",2012-02-06,111,0,19,"1","Monday","6_2",6,3784
"387",2012-02-07,133,0,30,"1","Tuesday","7_2",7,4375
"388",2012-02-08,50,25,14,"1","Wednesday","8_2",8,2802
"389",2012-02-09,78,0,26,"1","Thursday","9_2",9,3830
"390",2012-02-10,72,8,16,"1","Friday","10_2",10,3831
"391",2012-02-11,56,43,64,"1","Saturday","11_2",11,2169
"392",2012-02-12,-6,0,84,"1","Sunday","12_2",12,1529
"393",2012-02-13,94,0,24,"1","Monday","13_2",13,3422
"394",2012-02-14,117,0,18,"1","Tuesday","14_2",14,3922
"395",2012-02-15,117,0,30,"1","Wednesday","15_2",15,4169
"396",2012-02-16,72,51,20,"1","Thursday","16_2",16,3005
"397",2012-02-17,117,0,38,"1","Friday","17_2",17,4154
"398",2012-02-18,150,0,35,"1","Saturday","18_2",18,4318
"399",2012-02-19,61,0,34,"1","Sunday","19_2",19,2689
"400",2012-02-20,89,0,37,"1","Monday","20_2",20,3129
"401",2012-02-21,100,0,39,"1","Tuesday","21_2",21,3777
"402",2012-02-22,167,0,42,"1","Wednesday","22_2",22,4773
"403",2012-02-23,189,0,34,"1","Thursday","23_2",23,5062
"404",2012-02-24,144,51,40,"1","Friday","24_2",24,3487
"405",2012-02-25,72,0,91,"1","Saturday","25_2",25,2732
"406",2012-02-26,89,0,30,"1","Sunday","26_2",26,3389
"407",2012-02-28,122,0,27,"1","Tuesday","28_2",28,4363
"408",2012-02-29,133,343,33,"1","Wednesday","29_2",29,1834
"409",2012-03-01,194,0,45,"1","Thursday","1_3",1,4990
"410",2012-03-02,111,206,22,"1","Friday","2_3",2,3194
"411",2012-03-03,156,18,32,"1","Saturday","3_3",3,4066
"412",2012-03-04,83,0,46,"1","Sunday","4_3",4,3423
"413",2012-03-05,67,0,36,"1","Monday","5_3",5,3333
"414",2012-03-06,94,0,24,"1","Tuesday","6_3",6,3956
"415",2012-03-07,200,0,48,"1","Wednesday","7_3",7,4916
"416",2012-03-08,222,0,83,"1","Thursday","8_3",8,5382
"417",2012-03-09,183,0,69,"1","Friday","9_3",9,4569
"418",2012-03-10,83,0,30,"1","Saturday","10_3",10,4118
"419",2012-03-11,183,0,35,"1","Sunday","11_3",11,4911
"420",2012-03-12,217,0,31,"1","Monday","12_3",12,5298
"421",2012-03-13,267,3,39,"1","Tuesday","13_3",13,5847
